gen evals time best_fitness
1165 116600 957 29.0
1166 116700 957 29.0
1167 116800 958 29.0
1168 116900 958 29.0
1169 117000 961 29.0
1170 117100 962 29.0
1171 117200 963 29.0
1172 117300 964 29.0
1173 117400 965 29.0
1174 117500 966 29.0
1175 117600 966 29.0
1176 117700 967 29.0
1177 117800 968 29.0
1178 117900 970 29.0
1179 118000 972 29.0
1180 118100 973 29.0
1181 118200 975 29.0
1182 118300 975 29.0
1183 118400 976 29.0
1184 118500 977 29.0
1185 118600 978 29.0
1186 118700 978 29.0
1187 118800 979 29.0
1188 118900 980 29.0
1189 119000 982 29.0
1190 119100 983 29.0
1191 119200 984 29.0
1192 119300 986 29.0
1193 119400 987 29.0
1194 119500 988 29.0
1195 119600 989 29.0
1196 119700 991 29.0
1197 119800 992 29.0
1198 119900 993 29.0
1199 120000 994 29.0
1200 120100 995 29.0
1201 120200 996 29.0
1202 120300 996 29.0
1203 120400 997 29.0
1204 120500 998 29.0
1205 120600 999 29.0
1206 120700 1000 29.0
1207 120800 1005 29.0
1208 120900 1005 29.0
1209 121000 1006 29.0
1210 121100 1007 29.0
1211 121200 1008 29.0
1212 121300 1009 29.0
1213 121400 1010 29.0
1214 121500 1012 29.0
1215 121600 1013 29.0
1216 121700 1014 29.0
1217 121800 1015 29.0
1218 121900 1016 29.0
1219 122000 1017 29.0
1220 122100 1017 29.0
1221 122200 1018 29.0
1222 122300 1020 29.0
1223 122400 1022 29.0
1224 122500 1023 29.0
1225 122600 1024 29.0
1226 122700 1025 29.0
1227 122800 1026 29.0
1228 122900 1026 29.0
1229 123000 1027 29.0
1230 123100 1027 29.0
1231 123200 1028 29.0
1232 123300 1029 29.0
1233 123400 1030 29.0
1234 123500 1030 29.0
1235 123600 1033 29.0
1236 123700 1033 29.0
1237 123800 1036 29.0
1238 123900 1037 29.0
1239 124000 1037 29.0
1240 124100 1038 29.0
1241 124200 1039 29.0
1242 124300 1040 29.0
1243 124400 1041 29.0
